지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
192,진주,2021-01-29,-2.3,-6,733,3,1502,,,,,,,11,320,427,4.3,340,417,2.1,1772,360,-14.6,25,1408,39.4,2,1020.9,1027.6,2203,1020.5,3,1024.7,10.4,9.2,1200,2.43,14.95,,,,,,0,0,.8,-9,,,,,,,,,,1.8,2.6,,,
192,진주,2021-01-30,-.3,-9.2,713,9.1,1456,,,,,,,13,250,1445,6.2,250,1438,1.3,1142,250,-5.6,47,1504,69.4,4.2,1023.4,1029.6,2359,1023.9,1418,1027.2,10.4,6.1,1300,2.05,10.06,,,,,,2.6,1.8,.1,-10.4,,,,,,,,,,1.3,1.8,,,
192,진주,2021-01-31,3.1,-6,702,12.2,1433,,,,,,1,6,200,1506,2.6,250,1405,.5,452,160,-1.6,38,1211,74.6,5.6,1024.6,1032,927,1023.9,2359,1028.4,10.5,8.6,1200,2.14,12.77,,,,,,4.4,3.3,3.6,-8.4,,,,,,,,,,1.4,2.1,17,,
192,진주,2021-02-01,7.5,4.3,1,10.6,1111,,,,,,16,8.8,250,1353,3.4,250,1400,1,876,250,4.8,60,2054,84.5,8.7,1013.3,1023.9,1,1014,1529,1016.9,10.5,.3,1000,.93,3.1,,,,,,9,7.5,6,1.5,,,,,,,,,,1,1.5,,,
192,진주,2021-02-02,.4,-5.2,2359,7.5,13,,,,,,,9.9,20,922,4.5,360,1108,2.3,1957,360,-13.9,19,1214,36,2.2,1019.7,1025.9,2141,1017.8,1,1023.5,10.5,9.4,1200,2.53,15.96,,,,,,0,0,2.5,-8.5,,,,,,,,,,2.1,3,,,
192,진주,2021-02-03,-1.6,-8.5,656,5.1,1548,,,,,,,6.1,230,1438,2.9,110,1358,.8,657,110,-9.9,27,1604,56.3,2.9,1022.3,1029,836,1023.6,2349,1026.1,10.5,9.5,1200,2.47,15.78,,,,,,.9,.9,1.7,-10.5,,,,,,,,,,1.8,2.6,,,
192,진주,2021-02-04,2.4,-4,736,10,1609,,,,,,,6.6,360,1006,3.3,360,955,1,877,270,-9,17,1325,50.3,3.3,1021.1,1026.3,2400,1022.3,128,1024.8,10.6,9.4,1200,2.5,16.28,,,,,,1.6,1.5,3.3,-7.5,,,,,,,,,,2.4,3.5,,,
192,진주,2021-02-05,1.2,-7.1,611,8,1453,,,,,,,5.4,160,1509,2.7,160,1504,.7,591,180,-8.4,23,1252,52.5,3.3,1018.6,1026.5,54,1018.6,2130,1022.3,10.6,5.3,1100,1.93,10.31,,,,,,8,4.5,2.1,-9.4,,,,,,,,,,1.4,2,,,
192,진주,2021-02-06,4.1,-5.6,718,15,1540,,,,,,,5.7,290,1617,3.5,250,1713,.8,702,270,-1.4,37,1555,70.6,5.7,1013.3,1019.2,2,1014.6,1448,1017,10.6,9.6,1200,2.29,14.73,,,,,,0,0,4,-7.7,,,,,,,,,,2,2.9,,,
192,진주,2021-02-07,6.4,-2.1,706,15,1442,,,,,,,5.2,200,1512,2.3,160,1423,.8,656,340,-.9,31,1831,65.1,5.8,1016,1021.6,2349,1017.5,1,1019.6,10.7,9.3,1200,2.28,13.74,,,,,,2.9,2.1,5,-5.5,,,,,,,,,,2.5,3.6,,,
